CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Beverage_Preference,Purchase_Intention,Willingness_To_Pay,Feature_Preference_Taste,Feature_Preference_EnergyBoost,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
21,39,Female,Low,1,Energy Drinks,0,147,5,3,4,5,3,0.27,Needs more flavor options.,Online Store,1.01,5,Online Ads,Yes,2,69,Low
22,42,Female,Medium,1,Water,1,110,2,2,3,2,2,0.79,Not sure if I would switch from my current brand.,Gym,0.82,5,Word of Mouth,No,5,100,Low
23,44,Other,Low,3,Water,0,145,2,4,4,3,4,0.37,Great taste but packaging could be improved.,Supermarket,0.82,3,Online Ads,No,4,56,Medium
24,45,Male,Medium,5,,1,96,4,5,4,4,3,0.34,Great taste but packaging could be improved.,Supermarket,4.07,4,Social Media,No,2,9,Medium
25,33,Male,Medium,5,Water,0,65,1,3,5,1,5,0.55,Too expensive compared to other drinks.,Gym,3.33,3,TV,Yes,1,39,Low
26,32,Female,Low,9,Juices,1,64,1,5,2,1,1,0.74,Too expensive compared to other drinks.,Cafe,2.62,1,Online Ads,No,3,6,Low
27,20,Male,Medium,10,Soft Drinks,0,49,3,3,4,4,2,0.24,Not really interested in energy drinks.,Supermarket,1.79,5,Word of Mouth,Yes,1,37,Medium
28,54,Other,Medium,2,,1,84,1,5,5,5,5,0.6,Love the natural ingredients.,Cafe,4.39,3,Word of Mouth,No,3,84,Low
29,24,Male,Medium,2,Juices,1,122,4,4,2,4,4,0.28,Sounds great! Would definitely try.,Supermarket,1.96,3,Online Ads,Yes,3,60,Low
30,38,Other,High,6,Energy Drinks,0,50,3,2,3,2,1,0.23,Too expensive compared to other drinks.,Supermarket,4.08,1,Word of Mouth,Yes,2,83,High
31,26,Male,Medium,9,Soft Drinks,0,116,3,4,3,4,5,0.24,Too expensive compared to other drinks.,Convenience Store,2.2,2,In-store Promo,Yes,2,2,Medium
32,35,Female,Low,1,Water,0,92,2,1,1,1,1,0.78,Needs more flavor options.,Supermarket,1.88,4,In-store Promo,No,1,50,Medium
33,21,Female,Low,9,Soft Drinks,0,111,2,2,5,4,2,0.28,Not really interested in energy drinks.,Online Store,2.31,2,In-store Promo,No,3,85,Medium
34,42,Other,Low,9,Energy Drinks,1,143,1,4,2,3,4,0.23,Too expensive compared to other drinks.,Gym,1.51,5,Social Media,Yes,1,46,Medium
35,31,Male,Medium,9,,1,107,3,1,4,2,1,0.51,Not sure if I would switch from my current brand.,Gym,3.74,3,Online Ads,Yes,4,67,Medium
36,26,Female,Low,5,,1,150,2,3,3,4,5,0.79,Needs more flavor options.,Cafe,2.51,1,Social Media,No,1,91,Medium
37,43,Other,Medium,9,,1,134,4,3,2,1,2,0.38,Love the natural ingredients.,Supermarket,1.16,1,Word of Mouth,Yes,5,75,High
38,19,Female,Medium,4,Water,1,67,2,5,5,2,2,0.5,I love the idea of a healthy energy drink.,Online Store,4.5,4,Social Media,Yes,1,37,Low
39,37,Female,Medium,2,Juices,0,114,2,2,1,1,5,0.23,Needs more flavor options.,Cafe,1.92,2,Word of Mouth,No,5,35,Medium
40,45,Female,Medium,6,Juices,0,146,3,3,3,5,5,0.51,I love the idea of a healthy energy drink.,Convenience Store,2.72,4,Word of Mouth,Yes,5,40,Medium
41,24,Female,Low,4,Soft Drinks,1,104,3,2,2,3,1,0.6,Great taste but packaging could be improved.,Cafe,4.53,3,TV,No,5,68,High
42,25,Female,Low,6,Water,1,88,5,3,2,5,3,0.6,Not really interested in energy drinks.,Cafe,3.12,4,In-store Promo,Yes,4,12,Medium
43,52,Female,Medium,3,,0,86,4,5,2,3,2,0.43,Love the natural ingredients.,Supermarket,0.58,1,Word of Mouth,Yes,1,86,Medium
44,31,Other,Medium,6,,0,91,3,4,5,4,1,0.42,Not really interested in energy drinks.,Convenience Store,4.7,1,TV,Yes,1,57,Low
45,34,Male,Medium,2,Energy Drinks,1,141,1,5,5,2,5,0.27,Love the natural ingredients.,Cafe,3.14,5,In-store Promo,No,4,49,Medium
46,53,Male,Medium,2,Energy Drinks,1,127,4,1,5,4,1,0.46,Not really interested in energy drinks.,Online Store,1.67,5,Word of Mouth,Yes,3,29,Low
47,21,Other,Low,9,,0,93,4,3,4,3,5,0.27,Needs more flavor options.,Online Store,0.7,3,Word of Mouth,No,2,61,Medium
48,19,Female,High,7,,1,99,3,1,2,3,4,0.74,Not really interested in energy drinks.,Gym,3.97,2,Social Media,Yes,1,100,Low
49,23,Female,Medium,3,Water,1,96,4,1,3,3,5,0.88,Price is a concern for students like me.,Convenience Store,3.1,4,Social Media,No,2,24,Medium
50,21,Female,Medium,1,Juices,0,86,3,2,5,1,5,0.88,Love the natural ingredients.,Convenience Store,2.67,3,In-store Promo,Yes,4,26,Low
51,46,Male,Low,8,Energy Drinks,0,70,2,3,5,2,5,0.81,I love the idea of a healthy energy drink.,Gym,4.47,5,Word of Mouth,Yes,3,50,Medium
52,35,Male,Medium,6,Juices,1,144,5,1,2,4,3,0.62,Love the natural ingredients.,Cafe,3.94,4,Online Ads,No,3,77,High
53,43,Female,Medium,7,Water,1,85,2,4,5,4,5,0.69,Great taste but packaging could be improved.,Convenience Store,0.76,5,Social Media,Yes,3,56,Low
54,51,Male,Low,9,,0,65,3,1,4,5,2,0.4,Not sure if I would switch from my current brand.,Online Store,1.56,4,In-store Promo,Yes,4,46,Medium
55,27,Female,High,5,Juices,1,44,3,4,4,3,2,0.64,Price is a concern for students like me.,Online Store,1.24,2,Word of Mouth,No,5,99,Medium
56,53,Male,Low,1,,1,123,2,2,5,3,1,0.52,Convenience of availability is key.,Supermarket,3.72,3,Word of Mouth,Yes,5,38,Low
57,31,Other,High,10,,1,91,1,1,2,3,3,0.54,Love the natural ingredients.,Convenience Store,0.17,4,Online Ads,No,2,15,High
58,48,Other,Medium,7,Soft Drinks,1,144,1,5,2,4,1,0.73,Too expensive compared to other drinks.,Cafe,2.85,1,In-store Promo,Yes,5,21,Low
59,32,Female,Low,5,Juices,1,114,1,2,2,5,2,0.4,Needs more flavor options.,Gym,3.81,1,Word of Mouth,No,5,84,Medium
60,25,Female,Medium,3,Juices,1,93,3,4,1,1,2,0.42,Needs more flavor options.,Gym,4.38,4,Social Media,Yes,3,53,Medium
61,31,Male,High,9,,1,72,4,2,5,2,4,0.85,Not really interested in energy drinks.,Cafe,1.71,4,Online Ads,Yes,3,20,Medium
62,40,Female,Medium,1,Water,1,89,3,1,2,1,5,0.24,Not really interested in energy drinks.,Supermarket,4.11,4,In-store Promo,No,2,71,Medium
63,38,Female,High,1,Soft Drinks,1,77,4,3,4,4,2,0.54,Needs more flavor options.,Gym,0.55,1,Online Ads,No,1,15,Low
64,33,Male,Medium,1,,1,66,2,3,3,3,1,0.84,Sounds great! Would definitely try.,Convenience Store,4.23,1,Social Media,Yes,2,58,Low
65,35,Other,Medium,3,Energy Drinks,0,137,5,4,3,2,1,0.63,Price is a concern for students like me.,Supermarket,0.64,4,In-store Promo,Yes,2,30,High
66,41,Female,High,6,Energy Drinks,1,54,4,4,2,4,5,0.58,Price is a concern for students like me.,Convenience Store,1.99,5,Online Ads,No,4,41,Medium
67,43,Other,Low,10,Soft Drinks,1,135,1,3,3,4,5,0.37,I love the idea of a healthy energy drink.,Online Store,3.99,5,TV,Yes,4,73,High
68,42,Female,Medium,3,Water,0,100,3,4,3,4,4,0.44,Love the natural ingredients.,Supermarket,0.75,2,Social Media,No,2,31,High
69,46,Female,Low,8,,1,60,2,2,1,2,3,0.8,Convenience of availability is key.,Gym,1.15,3,Social Media,No,2,58,High
70,32,Male,High,10,Juices,1,85,1,5,4,2,1,0.59,Needs more flavor options.,Supermarket,3.61,5,Social Media,Yes,2,33,Medium
71,18,Other,High,2,Soft Drinks,0,108,2,5,4,5,5,0.56,Love the natural ingredients.,Supermarket,3.6,1,TV,Yes,5,8,Medium
72,42,Female,Low,9,Water,0,45,5,2,1,5,1,0.27,Price is a concern for students like me.,Supermarket,3.21,5,TV,No,4,80,High
73,24,Male,Medium,3,Juices,0,77,3,5,1,1,5,0.21,Great taste but packaging could be improved.,Supermarket,3.47,2,Word of Mouth,Yes,2,10,Medium
74,26,Male,High,5,Energy Drinks,0,101,3,1,3,2,2,0.87,Needs more flavor options.,Convenience Store,2.71,2,Online Ads,Yes,3,95,Low
75,41,Male,Low,10,Energy Drinks,1,125,5,2,5,2,1,0.46,Love the natural ingredients.,Online Store,1.26,3,Word of Mouth,No,3,9,High
76,18,Female,Medium,8,Juices,0,101,3,4,3,2,2,0.62,Price is a concern for students like me.,Cafe,1.73,5,Online Ads,Yes,5,85,High
77,25,Other,High,2,Soft Drinks,1,121,4,2,1,5,1,0.26,Not sure if I would switch from my current brand.,Supermarket,0.91,1,TV,No,5,16,Medium
78,41,Male,Low,6,Energy Drinks,1,117,2,3,4,4,3,0.68,Price is a concern for students like me.,Gym,4.54,1,TV,Yes,1,67,Low
79,28,Female,Medium,5,,1,113,1,4,3,3,4,0.85,Not really interested in energy drinks.,Supermarket,2.92,4,Word of Mouth,Yes,1,47,Medium
80,34,Male,Low,10,Juices,1,85,5,3,5,5,2,0.6,Too expensive compared to other drinks.,Gym,2,1,In-store Promo,Yes,1,51,High
81,25,Other,High,9,Juices,0,52,4,4,3,2,5,0.29,Sounds great! Would definitely try.,Convenience Store,2.31,3,Word of Mouth,Yes,5,24,High
82,52,Female,High,5,Energy Drinks,1,134,1,5,2,5,3,0.61,Sounds great! Would definitely try.,Gym,4.74,3,Online Ads,Yes,5,20,Low
83,52,Female,High,2,Soft Drinks,0,133,1,2,3,1,1,0.74,Not really interested in energy drinks.,Cafe,0.77,1,Word of Mouth,Yes,5,100,Low
84,50,Female,Medium,5,,1,42,5,1,1,2,2,0.48,Not really interested in energy drinks.,Online Store,2.93,1,Social Media,No,3,64,High
85,22,Male,High,4,Soft Drinks,1,133,4,4,4,1,1,0.82,Needs more flavor options.,Gym,2.53,4,Online Ads,Yes,5,62,Medium
86,45,Male,High,7,Water,0,45,1,4,4,2,1,0.65,Not sure if I would switch from my current brand.,Gym,3.06,1,Online Ads,Yes,3,88,Medium
87,24,Male,Medium,6,Water,0,132,1,3,1,5,1,0.83,Not sure if I would switch from my current brand.,Online Store,0.09,4,In-store Promo,Yes,1,50,High
88,26,Female,High,2,Energy Drinks,1,47,4,5,2,4,4,0.64,Needs more flavor options.,Cafe,4.36,4,TV,Yes,1,35,Low
89,25,Female,Low,5,Energy Drinks,1,83,3,3,1,3,4,0.29,Love the natural ingredients.,Supermarket,4.66,1,Online Ads,Yes,1,80,Medium
90,29,Other,Medium,7,Energy Drinks,1,148,1,3,3,1,5,0.42,Needs more flavor options.,Gym,2.83,2,TV,Yes,2,87,Low
91,51,Other,Low,7,Water,0,146,2,5,1,5,2,0.34,Convenience of availability is key.,Online Store,3.48,2,Word of Mouth,Yes,2,65,Medium
92,50,Female,Low,5,Soft Drinks,1,147,4,1,1,4,3,0.84,Convenience of availability is key.,Convenience Store,4.61,4,Social Media,Yes,4,14,High
93,40,Female,Low,9,Soft Drinks,0,72,1,3,2,5,3,0.73,Sounds great! Would definitely try.,Online Store,3.54,1,In-store Promo,Yes,4,95,Medium
94,41,Other,Medium,4,Energy Drinks,1,120,5,3,3,1,3,0.67,Price is a concern for students like me.,Convenience Store,0.76,2,TV,No,4,38,High
95,54,Female,Medium,3,,1,114,2,4,5,3,1,0.41,Needs more flavor options.,Cafe,2.88,1,Online Ads,Yes,2,69,Medium
96,52,Male,Medium,4,Soft Drinks,1,116,1,5,5,5,4,0.33,Needs more flavor options.,Supermarket,3.03,1,TV,Yes,2,0,Medium
97,39,Female,Low,5,Water,1,89,2,2,4,2,2,0.73,Love the natural ingredients.,Online Store,2.12,1,Online Ads,No,4,22,Low
98,44,Male,Medium,6,Juices,0,50,2,1,1,4,1,0.53,I love the idea of a healthy energy drink.,Gym,3.68,5,TV,Yes,4,38,Medium
99,52,Other,Medium,3,Juices,1,134,3,1,4,5,4,0.36,Sounds great! Would definitely try.,Cafe,4.67,1,Online Ads,No,5,56,Medium
100,18,Female,Medium,2,Juices,1,67,2,5,2,4,4,0.63,Sounds great! Would definitely try.,Online Store,4.63,5,Word of Mouth,Yes,4,80,Low
101,52,Male,Medium,4,,0,147,3,4,5,2,2,0.23,Sounds great! Would definitely try.,Gym,2.25,4,Online Ads,Yes,5,33,Medium
102,54,Female,Medium,5,Energy Drinks,1,109,4,4,1,3,2,0.43,Price is a concern for students like me.,Online Store,0.57,2,Online Ads,Yes,3,40,Medium
103,31,Female,High,4,Water,0,80,3,5,2,3,2,0.53,Not really interested in energy drinks.,Convenience Store,4.92,2,Social Media,Yes,2,92,High
104,20,Male,Medium,3,,1,55,5,4,2,2,1,0.3,Great taste but packaging could be improved.,Online Store,4.19,2,Online Ads,No,4,72,Medium
105,18,Male,Low,8,Water,1,107,1,1,1,4,5,0.89,I love the idea of a healthy energy drink.,Online Store,0.62,2,Social Media,Yes,2,12,High
106,22,Female,Low,10,Water,1,138,4,1,2,5,2,0.35,Price is a concern for students like me.,Online Store,4.6,2,In-store Promo,No,2,69,Low
107,43,Female,High,4,Energy Drinks,0,87,4,2,1,2,5,0.29,Convenience of availability is key.,Cafe,4.35,2,Social Media,Yes,2,5,Low
108,31,Female,Low,2,Juices,1,95,5,5,1,1,1,0.34,Love the natural ingredients.,Online Store,2.59,2,Word of Mouth,Yes,3,83,Medium
109,44,Female,High,2,Energy Drinks,1,103,3,3,3,4,5,0.74,Not really interested in energy drinks.,Gym,2.96,4,Social Media,Yes,1,51,Medium
110,26,Female,Medium,1,,1,98,1,3,4,3,3,0.5,Convenience of availability is key.,Convenience Store,2,1,In-store Promo,Yes,4,2,Low
111,32,Female,High,4,,1,129,3,2,2,2,5,0.6,Not really interested in energy drinks.,Convenience Store,0.27,3,Word of Mouth,Yes,1,80,High
112,32,Female,Medium,10,,0,101,2,2,2,3,2,0.21,Not sure if I would switch from my current brand.,Online Store,1.68,5,TV,No,1,62,High
113,43,Female,High,9,Energy Drinks,1,115,3,4,3,4,1,0.22,Sounds great! Would definitely try.,Cafe,4.01,3,TV,No,1,48,Medium
114,30,Male,Medium,7,Water,1,50,4,2,3,3,2,0.51,Not really interested in energy drinks.,Cafe,0.02,3,Social Media,Yes,2,75,Low
115,49,Male,Medium,10,Water,1,140,1,2,3,2,3,0.77,Too expensive compared to other drinks.,Gym,1.67,1,Social Media,No,5,46,High
116,49,Male,Medium,7,Soft Drinks,1,128,3,3,5,4,2,0.82,Sounds great! Would definitely try.,Online Store,1.99,1,In-store Promo,No,2,54,Medium
117,21,Female,Medium,7,,1,57,1,4,5,1,2,0.26,Sounds great! Would definitely try.,Convenience Store,2.69,1,In-store Promo,No,2,63,High
118,47,Female,Medium,8,Water,1,58,1,2,5,2,2,0.58,Love the natural ingredients.,Cafe,4.6,2,Online Ads,Yes,1,64,High
119,54,Female,High,1,Soft Drinks,1,126,2,2,1,5,4,0.84,I love the idea of a healthy energy drink.,Online Store,1.73,4,In-store Promo,No,2,80,High
120,40,Male,High,10,Water,0,94,2,4,2,2,3,0.47,Convenience of availability is key.,Cafe,1.73,2,Online Ads,Yes,1,66,Medium
121,32,Male,Medium,10,,0,141,4,5,4,4,2,0.78,Not really interested in energy drinks.,Cafe,3.69,4,Word of Mouth,No,5,89,Low
122,46,Male,Medium,8,Juices,0,121,5,4,1,2,2,0.29,Not really interested in energy drinks.,Convenience Store,2.26,4,Social Media,Yes,4,14,Medium
123,53,Male,Medium,4,,0,65,1,3,2,1,2,0.85,Not sure if I would switch from my current brand.,Supermarket,1.12,3,Word of Mouth,Yes,1,99,Medium
124,30,Female,Medium,4,Energy Drinks,1,45,5,5,2,1,1,0.73,Sounds great! Would definitely try.,Gym,2.26,3,In-store Promo,No,5,31,High
125,49,Male,Low,4,Water,1,43,4,1,3,5,4,0.86,Needs more flavor options.,Gym,0.7,4,Word of Mouth,Yes,4,95,Low
126,24,Male,Low,6,Water,1,147,1,4,3,3,1,0.67,Great taste but packaging could be improved.,Convenience Store,0.88,4,Word of Mouth,No,3,67,Low
127,39,Other,Medium,7,Energy Drinks,1,68,1,3,1,4,4,0.45,Needs more flavor options.,Cafe,2.49,2,Word of Mouth,No,1,17,High
128,45,Male,Low,6,Energy Drinks,1,98,5,5,3,4,2,0.86,Not really interested in energy drinks.,Online Store,2.09,2,In-store Promo,No,1,82,High
129,19,Female,Low,1,Juices,1,137,3,4,2,3,3,0.39,Needs more flavor options.,Cafe,4.57,3,Word of Mouth,Yes,3,42,High
130,23,Female,Low,8,Water,1,56,2,2,3,1,5,0.43,Love the natural ingredients.,Convenience Store,1.81,1,Online Ads,No,3,34,High
131,45,Male,Low,10,Water,1,146,3,4,5,1,5,0.69,Too expensive compared to other drinks.,Gym,2.9,4,In-store Promo,Yes,1,77,Medium
132,45,Female,Low,7,Juices,1,82,5,1,3,2,2,0.74,Not really interested in energy drinks.,Cafe,3.16,2,Word of Mouth,Yes,3,57,Medium
133,37,Female,High,6,Soft Drinks,0,119,2,4,2,5,1,0.85,Not really interested in energy drinks.,Gym,0.07,3,In-store Promo,No,2,32,High
134,47,Other,Medium,6,Juices,0,105,3,5,1,5,3,0.34,Too expensive compared to other drinks.,Online Store,3.32,2,TV,Yes,4,13,Medium
135,28,Male,Medium,5,,1,73,2,5,4,5,4,0.76,Convenience of availability is key.,Gym,0.89,4,Online Ads,Yes,4,33,Medium
136,45,Other,Medium,6,Water,1,47,1,4,3,2,2,0.72,Too expensive compared to other drinks.,Gym,4.81,4,Word of Mouth,No,4,60,Low
137,42,Female,Low,9,Energy Drinks,0,52,3,5,2,5,3,0.24,Needs more flavor options.,Supermarket,0.74,5,TV,Yes,2,3,Medium
138,50,Male,High,10,,1,145,2,2,4,3,3,0.47,Love the natural ingredients.,Supermarket,2.07,1,TV,Yes,3,87,High
139,18,Female,Medium,9,Water,1,47,2,4,4,2,4,0.4,Not sure if I would switch from my current brand.,Supermarket,0.43,5,In-store Promo,No,5,58,Low
140,44,Other,Low,10,Juices,0,133,2,2,5,3,3,0.41,Convenience of availability is key.,Gym,4.98,3,TV,Yes,3,28,Low
141,30,Female,Medium,8,,0,135,3,2,4,2,1,0.89,Price is a concern for students like me.,Convenience Store,2.51,2,Online Ads,No,1,82,Medium
142,20,Male,High,10,Water,1,139,4,3,2,5,1,0.65,Not sure if I would switch from my current brand.,Gym,2.98,3,Online Ads,No,4,5,Low
143,23,Female,High,9,Soft Drinks,1,150,3,4,2,3,1,0.7,I love the idea of a healthy energy drink.,Convenience Store,0.34,4,Social Media,No,3,96,Low
144,25,Male,Medium,10,Soft Drinks,0,133,5,5,3,3,3,0.88,I love the idea of a healthy energy drink.,Convenience Store,3.75,5,Online Ads,No,5,48,Medium
145,44,Male,Medium,8,Energy Drinks,1,104,3,2,3,3,1,0.46,I love the idea of a healthy energy drink.,Supermarket,1.05,5,TV,Yes,1,39,High
146,26,Male,Low,8,Water,1,82,2,3,3,2,4,0.76,I love the idea of a healthy energy drink.,Cafe,4.49,5,Online Ads,Yes,2,82,Medium
147,54,Male,High,1,Soft Drinks,1,78,1,4,4,4,3,0.5,Love the natural ingredients.,Online Store,1.03,3,In-store Promo,No,2,64,Low
148,50,Male,Low,10,Juices,0,120,3,4,4,5,5,0.81,Not sure if I would switch from my current brand.,Supermarket,0.95,4,Social Media,No,5,68,Low
149,41,Male,High,5,Water,0,98,3,1,5,3,3,0.33,Sounds great! Would definitely try.,Supermarket,0.18,2,TV,Yes,1,26,Medium
150,32,Female,Medium,4,Juices,1,123,2,1,3,4,4,0.86,Great taste but packaging could be improved.,Cafe,2.36,2,Social Media,Yes,4,79,Medium
151,49,Male,Medium,2,Juices,1,127,1,2,1,5,5,0.35,Convenience of availability is key.,Online Store,2.82,3,TV,Yes,3,5,High
152,49,Male,Medium,8,Soft Drinks,1,125,1,1,5,5,3,0.43,Price is a concern for students like me.,Gym,0.33,5,In-store Promo,Yes,1,12,Medium
153,41,Female,Low,3,Water,0,132,5,2,1,3,1,0.73,Needs more flavor options.,Gym,3.88,1,Social Media,No,2,63,High
154,29,Female,Low,4,,1,125,3,5,4,3,2,0.48,Not really interested in energy drinks.,Supermarket,2.27,3,Word of Mouth,Yes,5,61,Low
155,19,Female,Low,7,Soft Drinks,0,83,1,2,5,2,2,0.63,I love the idea of a healthy energy drink.,Online Store,2.62,3,TV,No,5,98,Medium
156,20,Male,Low,10,Soft Drinks,0,48,1,1,5,4,1,0.51,Price is a concern for students like me.,Supermarket,2.2,4,Word of Mouth,No,3,18,Low
157,54,Male,Medium,9,Water,0,76,4,5,2,4,2,0.72,Not really interested in energy drinks.,Convenience Store,2,2,Social Media,Yes,5,75,High
158,34,Male,Medium,2,Water,0,113,4,1,4,3,2,0.36,Great taste but packaging could be improved.,Supermarket,2.8,3,Word of Mouth,No,5,79,Medium
159,19,Male,Low,3,Juices,1,75,1,2,4,5,1,0.24,Price is a concern for students like me.,Supermarket,0.78,3,Word of Mouth,Yes,1,42,Medium
160,19,Male,High,4,Water,1,140,5,3,5,3,1,0.41,Not sure if I would switch from my current brand.,Gym,0.91,5,Social Media,Yes,4,73,Low
161,45,Male,High,10,Juices,0,131,1,4,4,5,3,0.53,Price is a concern for students like me.,Gym,4.31,5,In-store Promo,No,3,88,Low
162,40,Male,High,1,Soft Drinks,1,67,2,1,5,5,3,0.32,I love the idea of a healthy energy drink.,Gym,4.73,1,Word of Mouth,No,1,19,Medium
163,54,Male,High,7,Energy Drinks,0,81,3,2,2,3,1,0.45,Great taste but packaging could be improved.,Convenience Store,1.87,4,Word of Mouth,No,4,94,Low
164,49,Female,Low,2,,1,82,5,5,5,1,4,0.48,Needs more flavor options.,Gym,1.35,1,In-store Promo,Yes,1,67,Medium
165,50,Male,Medium,5,Soft Drinks,1,124,2,1,4,4,2,0.24,Sounds great! Would definitely try.,Online Store,3.22,5,Word of Mouth,Yes,1,43,Low
166,18,Male,Medium,1,Water,0,127,5,1,4,5,3,0.61,Too expensive compared to other drinks.,Cafe,2.04,2,Word of Mouth,No,5,22,Medium
167,36,Female,Medium,3,,1,81,2,4,5,5,2,0.82,I love the idea of a healthy energy drink.,Online Store,0.13,5,Word of Mouth,Yes,4,1,High
168,19,Female,Low,2,Energy Drinks,0,143,3,2,5,1,5,0.31,Not really interested in energy drinks.,Online Store,0.78,4,Online Ads,Yes,3,21,High
169,43,Male,High,1,Energy Drinks,0,105,3,3,5,2,1,0.62,Great taste but packaging could be improved.,Gym,3.58,5,In-store Promo,Yes,3,56,High
170,49,Female,Low,7,Juices,0,94,4,5,3,1,4,0.67,Not sure if I would switch from my current brand.,Cafe,3.29,4,Word of Mouth,No,4,100,Low
171,23,Female,Low,5,,1,111,2,2,4,1,5,0.49,Love the natural ingredients.,Cafe,0.14,4,In-store Promo,Yes,5,71,Low
172,49,Male,Medium,1,Juices,1,87,4,5,4,5,5,0.69,Great taste but packaging could be improved.,Cafe,1.11,4,TV,No,2,6,Medium
173,21,Female,Medium,6,Soft Drinks,0,130,2,1,3,4,5,0.49,Not really interested in energy drinks.,Convenience Store,1.16,4,TV,No,1,77,Medium
174,28,Other,Medium,5,,1,61,4,4,5,1,1,0.55,Too expensive compared to other drinks.,Gym,3.36,4,Word of Mouth,Yes,5,55,Medium
175,34,Male,Low,3,Soft Drinks,1,140,3,4,2,2,3,0.21,Too expensive compared to other drinks.,Cafe,0.1,2,In-store Promo,Yes,4,66,Low
176,41,Male,High,7,Juices,1,66,5,3,5,3,1,0.68,Convenience of availability is key.,Convenience Store,0.52,1,In-store Promo,Yes,1,15,Low
177,22,Female,Low,10,,1,132,4,4,5,1,3,0.66,Sounds great! Would definitely try.,Supermarket,4,3,In-store Promo,No,3,82,Low
178,51,Female,Low,9,Juices,1,106,2,1,3,1,5,0.23,Not really interested in energy drinks.,Supermarket,0.89,1,Online Ads,Yes,2,50,High
179,23,Male,High,9,,0,147,2,3,4,2,5,0.46,Too expensive compared to other drinks.,Convenience Store,3.26,4,TV,Yes,3,81,Low
